,mombasa,kwale,kilifi,tana-river,lamu,taita-taveta,garissa,wajir,mandera,marsabit,isiolo,meru,tharaka-nithi,embu,kitui,machakos,makueni,nyandarua,nyeri,kirinyaga,murang'a,kiambu,turkana,west-pokot,samburu,trans-nzoia,uasin-gishu,elgeyo-marakwet,nandi,baringo,laikipia,nakuru,narok,kajiado,kericho,bomet,kakamega,vihiga,bungoma,busia,siaya,kisumu,homa-bay,migori,kisii,nyamira,nairobi,kajido,mirogi
04-07-2020,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,67,,
03-07-2020,35,0,0,0,1,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,2,12,0,0,0,0,4,0,0,0,0,2,0,15,0,0,0,0,0,12,2,0,0,0,0,1,153,,
02-07-2020,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,11,0,0,0,0,8,0,0,0,0,0,2,9,0,0,0,0,0,18,0,0,0,9,0,0,175,,
01-07-2020,38,0,1,0,0,0,0,0,0,0,0,0,0,0,1,33,5,0,0,0,0,20,0,0,0,0,1,0,0,0,0,5,20,0,4,0,0,0,0,10,0,1,0,0,0,0,154,14.0,
28-06-2020,39,1,5,0,1,0,2,0,0,2,0,0,0,0,0,16,9,0,0,0,0,22,0,0,0,0,9,0,0,0,0,9,0,3,0,0,0,0,0,11,0,2,0,0,0,0,127,,
27-06-2020,37,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,12,0,0,0,2,9,0,2,0,0,17,0,4,2,0,0,1,0,10,1,1,0,3,0,0,171,,
26-06-2020,20,0,1,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,1,0,16,0,0,0,0,1,9,13,0,0,0,0,0,73,,
25-06-2020,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,2,0,21,1,0,0,0,0,8,0,0,0,17,0,0,100,,
24-05-2020,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,
23-06-2020,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,19,0,1,0,0,0,0,104,,10.0
22-06-2020,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,28,,
21-06-2020,42,15,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,3,0,7,0,0,1,0,0,3,0,0,2,3,1,0,157,,
20-06-2020,33,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,60,,
19-06-2020,22,0,0,0,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,5,0,18,2,0,0,0,0,0,0,0,0,0,0,0,51,,
18-06-2020,32,0,0,0,0,2,3,0,0,0,3,0,0,1,1,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,1,13,0,0,0,0,0,5,0,0,0,1,0,0,136,,
17-06-2020,19,0,0,0,0,1,1,0,0,0,0,13,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,14,0,0,0,1,0,6,0,1,0,0,0,0,111,,
16-06-2020,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,2,0,0,86,,
15-06-2020,61,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,53,,
14-06-2020,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,0,15,0,0,0,0,0,4,0,0,0,0,0,1,92,,
13-06-2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,0,0,0,0,0,16,0,2,0,3,0,0,70,,
12-06-2020,34,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,36,,
11-06-2020,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,37,0,0,0,4,0,0,49,,
10-06-2020,11,5,3,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,18,1,2,0,6,0,0,43,,
09-06-2020,34,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,62,,
