,confirmed_cases,total_dead,recovered,active_cases
05-24-2020,1214,51,383,780
05-23-2020,1192,50,380,762
05-22-2020,1161,50,380,731
05-21-2020,1109,50,375,684
05-20-2020,1029,50,366,613
05-19-2020,963,50,358,555
05-18-2020,912,50,336,526
05-17-2020,887,50,313,524
05-16-2020,830,50,301,479
05-15-2020,781,45,284,452
05-14-2020,758,42,284,432
05-13-2020,737,40,281,416
05-12-2020,715,36,259,420
05-11-2020,700,33,251,416
05-10-2020,672,32,239,401
05-09-2020,649,30,207,412
05-08-2020,621,29,202,390
05-07-2020,607,29,197,381
05-06-2020,582,26,190,366
05-05-2020,535,24,182,329
05-04-2020,490,24,173,293
05-03-2020,465,24,167,274
05-02-2020,435,22,152,261
05-01-2020,411,21,150,240
04-30-2020,396,17,144,235
04-29-2020,384,15,129,240
04-28-2020,374,14,124,236
04-27-2020,363,14,114,235
04-26-2020,355,14,106,235
04-25-2020,343,14,98,231
04-24-2020,336,14,94,228
04-23-2020,320,14,89,217
04-22-2020,303,14,74,215
04-21-2020,296,14,74,208
04-20-2020,281,14,69,198
04-19-2020,270,14,67,189
04-18-2020,262,12,60,190
04-17-2020,246,11,53,182
04-16-2020,234,11,53,170
04-15-2020,225,10,53,162
04-14-2020,216,9,41,166
04-13-2020,208,9,40,159
04-12-2020,197,8,25,164
04-11-2020,191,7,24,160
04-10-2020,189,7,22,160
04-09-2020,184,7,12,165
04-08-2020,179,6,9,164
04-07-2020,172,6,7,159
04-06-2020,158,6,4,148
04-05-2020,142,4,4,134
04-04-2020,126,4,4,118
04-03-2020,122,4,4,114
04-02-2020,110,3,4,103
04-01-2020,81,1,3,77
03-31-2020,59,1,1,57
03-30-2020,50,1,1,48
03-29-2020,42,1,1,40
03-28-2020,38,1,1,36
03-27-2020,31,1,1,29
03-26-2020,31,1,1,29
03-25-2020,28,0,1,27
03-24-2020,25,0,0,25
03-23-2020,16,0,0,16
03-22-2020,15,0,0,15
